"Modelo","Parametro","Dataset","Acuracia","Recall","Especificidade","F1","AUC"
"GLM","lambda=1",1,0.438902743142145,0.865384615384615,0.375358166189112,0.285714285714286,0.620371390786864
"GLM","lambda=1",2,0.496259351620948,0.846153846153846,0.444126074498567,0.303448275862069,0.645139960326207
"GLM","lambda=1",3,0.453865336658354,0.942307692307692,0.3810888252149,0.309148264984227,0.661698258761296
"GLM","lambda=1",4,0.448877805486284,0.884615384615385,0.383954154727794,0.293929712460064,0.634284769671589
"GLM","lambda=1",5,0.433915211970075,0.942307692307692,0.358166189111748,0.301538461538462,0.65023694070972
"GLM","lambda=1",6,0.438902743142145,0.980769230769231,0.358166189111748,0.311926605504587,0.669467709940489
"GLM","lambda=1",7,0.448877805486284,0.942307692307692,0.375358166189112,0.307210031347962,0.658832929248402
"GLM","lambda=1",8,0.413965087281795,0.923076923076923,0.33810888252149,0.290030211480363,0.630592902799207
"GLM","lambda=1",9,0.389027431421446,0.865384615384615,0.318051575931232,0.26865671641791,0.591718095657924
"GLM","lambda=1",10,0.346633416458853,1,0.249283667621777,0.284153005464481,0.624641833810888
