"Modelo","Parametro","Dataset","Acuracia","Recall","Especificidade","F1","AUC"
"RF","mtry=2",1,0.546134663341646,0.711538461538462,0.521489971346705,0.2890625,0.616514216442583
"RF","mtry=2",2,0.561097256857855,0.730769230769231,0.535816618911175,0.301587301587302,0.633292924840203
"RF","mtry=2",3,0.556109725685786,0.673076923076923,0.538681948424069,0.282258064516129,0.605879435750496
"RF","mtry=2",4,0.561097256857855,0.769230769230769,0.530085959885387,0.3125,0.649658364558078
"RF","mtry=2",5,0.526184538653367,0.711538461538462,0.498567335243553,0.28030303030303,0.605052898391007
"RF","mtry=2",6,0.538653366583541,0.788461538461538,0.501432664756447,0.307116104868914,0.644947101608993
"RF","mtry=2",7,0.548628428927681,0.846153846153846,0.504297994269341,0.327137546468401,0.675225920211594
"RF","mtry=2",8,0.546134663341646,0.788461538461538,0.510028653295129,0.310606060606061,0.649245095878334
"RF","mtry=2",9,0.543640897755611,0.730769230769231,0.515759312320917,0.293436293436293,0.623264271545074
"RF","mtry=2",10,0.58354114713217,0.788461538461538,0.553008595988539,0.329317269076305,0.670735067225039
